"Best4.Enterocytes","Enterocytes","Enteroendocrine","Goblet","Stem","TA"
7892,5512,10348,6738,7392,6599
1169,999,853,889,1039,1041
2165,1439,2225,2400,2185,1902
12800,11293,11896,14332,12896,13111
3574,3055,7232,5437,4212,3735
8745,10989,10264,7409,8787,8904
10491,10883,8484,11263,10263,10868
9319,8986,11015,9181,9475,9447
6544,6365,9523,5858,6373,6263
2111,1661,2772,1749,1796,1707
15467,17805,13064,14493,14443,14711
10078,9817,6871,8928,9680,10151
4569,3656,5573,5043,4899,4552
12023,12426,11052,11249,12188,11798
7450,9113,6602,7537,7591,7941
11585,11295,9643,10542,10369,10526
6439,4548,10413,6808,7052,6130
12196,12406,10246,13068,12280,12684
10327,10756,7112,9695,9246,9559
12953,15772,11349,12967,13082,13049
12457,12850,13102,13009,12414,12711
10093,11542,9587,9654,10083,10241
3084,2301,2401,2598,2980,3001
3810,3024,4237,3194,3996,3755
11857,13322,10301,10803,11880,12165
12861,13520,11776,13815,13581,13557
4196,4854,4812,4178,4393,4481
2269,2875,2411,1965,2625,3009
4480,3149,4682,3896,3917,3845
5718,7037,7529,5479,6210,6209
6796,6776,5804,6536,6248,6435
3336,3238,2476,3334,3311,3351
7835,9826,8475,9375,8533,8445
6781,6651,7102,7601,6537,6718
5604,6042,8317,5148,6394,6177
8433,9808,6852,8629,7846,8205
11321,16051,10236,11955,12416,12853
8833,8758,9689,8673,8673,8561
9627,11823,7427,9324,9993,10283
8560,10120,13027,10393,10452,10307
3174,2270,4822,2349,2805,2719
969,898,844,725,946,956
2865,2164,4247,2826,2995,2910
4736,5804,6741,5667,5026,5347
5086,5494,5471,4788,5332,5408
4764,4056,5415,5002,4732,4560
11657,13271,13927,12874,12012,12753
3110,3159,2707,3367,3326,3829
3575,3112,3449,4316,3390,3230
1196,1466,1854,1159,1192,1276
6438,7190,5313,6815,6591,6376
5698,5565,6147,5376,6292,5306
1785,1498,2021,1728,2424,2117
5757,3945,5090,5080,5066,5249
3672,3315,3292,3852,4352,4344
2720,2292,5016,2745,3281,3403
4003,4685,5192,3960,3897,3704
3174,3406,4766,3494,4041,4296
3370,2917,4942,3570,3303,3332
8127,9960,9995,8123,7669,7908
2409,3227,2049,2451,2547,2839
1249,992,1187,911,1037,1059
2923,2649,2837,2338,2606,2802
2159,2930,2031,2396,2631,2931
994,888,918,957,928,998
1261,1223,1595,1371,1371,1311
1340,1211,2930,1324,1326,1318
1804,1755,1586,1743,1731,1692
2500,2335,2262,2511,2291,2433
3565,3595,7288,3570,3700,3826
2675,2777,1511,2081,2428,2559
1027,927,742,994,1180,1074
1067,896,454,820,907,905
2060,1643,1808,1647,1840,1824
1275,1022,668,923,1020,1054
6326,8321,5582,5880,6509,6560
5507,4204,5220,4748,5143,5094
5084,6216,3783,6230,4772,4421
2783,3030,2513,2769,2665,2849
4007,4362,4228,3696,3679,3800
4201,5554,4886,3801,3942,4091
2420,2323,2114,1754,2485,2484
3523,2632,5174,3007,4268,4094
4156,3641,3533,5448,4236,4320
7133,7467,8994,7526,7205,7313
7697,6854,9736,9283,8317,8490
3429,4050,3384,3448,3268,3247
1384,1150,1521,1332,1287,1333
1776,1198,1521,1552,1321,1355
1809,1703,1854,2037,2022,2082
2380,2383,2160,2167,2407,2570
3530,4013,3996,3317,3595,3672
1993,1891,1604,1741,1823,1955
1231,1194,788,1119,1241,1351
1151,1013,649,985,1089,1073
965,867,584,878,1063,1041
1237,1045,1038,1095,1176,1164
3108,2899,3551,3111,2955,3040
11253,10132,10737,10803,11269,11128
4834,5843,6648,5179,5270,5259
4560,4045,5109,5229,4470,4463
6399,8657,5433,6316,6300,6862
8490,11019,6713,8995,8570,9116
2972,2799,3078,2908,3043,3096
3548,2656,3690,2998,3498,3031
9968,16675,8985,11027,11999,12818
5768,4080,6407,6376,5444,5431
1293,1346,1910,1316,1385,1340
7027,4938,4970,5659,5373,5545
9734,12196,9597,10469,10631,10438
13119,15945,13510,12998,14238,14159
2294,1849,2383,2132,2302,2258
10929,10613,9652,10884,10035,10060
7675,10119,9866,7861,7902,8304
13496,15186,15104,15050,13969,14165
4243,4073,3403,3997,3989,3872
1698,1565,1428,1362,1540,1585
4651,4969,6120,5858,4874,5058
5320,4704,4988,6061,5259,5190
5599,6193,5582,6642,5680,6183
1398,1212,2503,1518,1448,1311
4985,4712,4154,3939,4027,4251
4542,4907,7399,4604,4687,4872
2394,2028,1854,2370,2272,2409
9432,8723,8558,9388,9135,9424
6520,4456,3764,3814,5212,5091
7207,7639,6064,6745,6838,6859
2549,3151,2503,2444,2723,2676
2854,3386,2995,3361,3453,3526
2910,3183,2633,3409,3338,3359
3697,4768,2902,3929,3748,4096
2758,2352,4098,2195,2776,2837
1721,1708,2466,1629,1826,1798
3209,2117,3570,3193,2539,2460
4274,4830,5869,4901,4160,4107
4937,4890,6824,5258,5228,5352
5202,5973,5063,5220,4864,5062
4404,3238,5545,4243,3849,4036
6270,5771,6537,7394,6078,6399
5010,4845,4451,4172,4115,3935
6397,6120,5869,6754,5418,5492
5103,5838,3829,4917,5013,5464
2423,1693,1771,1949,1934,1951
1046,940,909,1172,980,1047
978,865,649,765,821,897
1024,869,668,976,925,921
1411,1133,1242,1307,1251,1303
926,891,436,809,867,941
1527,1296,3115,1666,1525,1506
4280,3195,3208,4289,3966,4251
1095,945,844,910,968,1039
1783,1743,705,1900,1697,1862
1037,945,631,893,941,923
3052,3251,2392,2847,2974,3142
