"","Best4.Enterocytes","Enterocytes","Enteroendocrine","Goblet","Stem","TA"
"chr1-3000000-4000000",7892,5512,10348,6738,7392,6599
"chr1-4000000-5000000",1169,999,853,889,1039,1041
"chr1-5000000-6000000",2165,1439,2225,2400,2185,1902
"chr1-6000000-7000000",12800,11293,11896,14332,12896,13111
"chr1-7000000-8000000",3574,3055,7232,5437,4212,3735
"chr1-8000000-9000000",8745,10989,10264,7409,8787,8904
"chr1-9000000-10000000",10491,10883,8484,11263,10263,10868
"chr1-10000000-11000000",9319,8986,11015,9181,9475,9447
"chr1-11000000-12000000",6544,6365,9523,5858,6373,6263
"chr1-14000000-15000000",2111,1661,2772,1749,1796,1707
"chr1-15000000-16000000",15467,17805,13064,14493,14443,14711
"chr1-17000000-18000000",10078,9817,6871,8928,9680,10151
"chr1-18000000-19000000",4569,3656,5573,5043,4899,4552
"chr1-19000000-20000000",12023,12426,11052,11249,12188,11798
"chr1-20000000-21000000",7450,9113,6602,7537,7591,7941
"chr1-21000000-22000000",11585,11295,9643,10542,10369,10526
"chr1-22000000-23000000",6439,4548,10413,6808,7052,6130
"chr1-23000000-24000000",12196,12406,10246,13068,12280,12684
"chr1-24000000-25000000",10327,10756,7112,9695,9246,9559
"chr1-26000000-27000000",12953,15772,11349,12967,13082,13049
"chr1-27000000-28000000",12457,12850,13102,13009,12414,12711
"chr1-28000000-29000000",10093,11542,9587,9654,10083,10241
"chr1-29000000-30000000",3084,2301,2401,2598,2980,3001
"chr1-30000000-31000000",3810,3024,4237,3194,3996,3755
"chr1-31000000-32000000",11857,13322,10301,10803,11880,12165
"chr1-32000000-33000000",12861,13520,11776,13815,13581,13557
"chr1-33000000-34000000",4196,4854,4812,4178,4393,4481
"chr1-34000000-35000000",2269,2875,2411,1965,2625,3009
"chr1-35000000-36000000",4480,3149,4682,3896,3917,3845
"chr1-36000000-37000000",5718,7037,7529,5479,6210,6209
"chr1-37000000-38000000",6796,6776,5804,6536,6248,6435
"chr1-38000000-39000000",3336,3238,2476,3334,3311,3351
"chr1-39000000-40000000",7835,9826,8475,9375,8533,8445
"chr1-40000000-41000000",6781,6651,7102,7601,6537,6718
"chr1-41000000-42000000",5604,6042,8317,5148,6394,6177
"chr1-42000000-43000000",8433,9808,6852,8629,7846,8205
"chr1-43000000-44000000",11321,16051,10236,11955,12416,12853
"chr1-44000000-45000000",8833,8758,9689,8673,8673,8561
"chr1-45000000-46000000",9627,11823,7427,9324,9993,10283
"chr1-47000000-48000000",8560,10120,13027,10393,10452,10307
"chr1-48000000-49000000",3174,2270,4822,2349,2805,2719
"chr1-49000000-50000000",969,898,844,725,946,956
"chr1-50000000-51000000",2865,2164,4247,2826,2995,2910
"chr1-51000000-52000000",4736,5804,6741,5667,5026,5347
"chr1-52000000-53000000",5086,5494,5471,4788,5332,5408
"chr1-53000000-54000000",4764,4056,5415,5002,4732,4560
"chr1-54000000-55000000",11657,13271,13927,12874,12012,12753
"chr1-55000000-56000000",3110,3159,2707,3367,3326,3829
"chr1-56000000-57000000",3575,3112,3449,4316,3390,3230
"chr1-57000000-58000000",1196,1466,1854,1159,1192,1276
"chr1-58000000-59000000",6438,7190,5313,6815,6591,6376
"chr1-59000000-60000000",5698,5565,6147,5376,6292,5306
"chr1-60000000-61000000",1785,1498,2021,1728,2424,2117
"chr1-61000000-62000000",5757,3945,5090,5080,5066,5249
"chr1-62000000-63000000",3672,3315,3292,3852,4352,4344
"chr1-63000000-64000000",2720,2292,5016,2745,3281,3403
"chr1-64000000-65000000",4003,4685,5192,3960,3897,3704
"chr1-65000000-66000000",3174,3406,4766,3494,4041,4296
"chr1-66000000-67000000",3370,2917,4942,3570,3303,3332
"chr1-67000000-68000000",8127,9960,9995,8123,7669,7908
"chr1-68000000-69000000",2409,3227,2049,2451,2547,2839
"chr1-69000000-70000000",1249,992,1187,911,1037,1059
"chr1-70000000-71000000",2923,2649,2837,2338,2606,2802
"chr1-71000000-72000000",2159,2930,2031,2396,2631,2931
"chr1-72000000-73000000",994,888,918,957,928,998
"chr1-73000000-74000000",1261,1223,1595,1371,1371,1311
"chr1-74000000-75000000",1340,1211,2930,1324,1326,1318
"chr1-75000000-76000000",1804,1755,1586,1743,1731,1692
"chr1-76000000-77000000",2500,2335,2262,2511,2291,2433
"chr1-77000000-78000000",3565,3595,7288,3570,3700,3826
"chr1-78000000-79000000",2675,2777,1511,2081,2428,2559
"chr1-79000000-80000000",1027,927,742,994,1180,1074
"chr1-80000000-81000000",1067,896,454,820,907,905
"chr1-81000000-82000000",2060,1643,1808,1647,1840,1824
"chr1-82000000-83000000",1275,1022,668,923,1020,1054
"chr1-84000000-85000000",6326,8321,5582,5880,6509,6560
"chr1-85000000-86000000",5507,4204,5220,4748,5143,5094
"chr1-86000000-87000000",5084,6216,3783,6230,4772,4421
"chr1-87000000-88000000",2783,3030,2513,2769,2665,2849
"chr1-88000000-89000000",4007,4362,4228,3696,3679,3800
"chr1-89000000-90000000",4201,5554,4886,3801,3942,4091
"chr1-90000000-91000000",2420,2323,2114,1754,2485,2484
"chr1-91000000-92000000",3523,2632,5174,3007,4268,4094
"chr1-92000000-93000000",4156,3641,3533,5448,4236,4320
"chr1-93000000-94000000",7133,7467,8994,7526,7205,7313
"chr1-94000000-95000000",7697,6854,9736,9283,8317,8490
